WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
youths	0	0	CHICAGO -- Chicago Mayor Rahm Emanuel took the oath of office to begin his second term Monday and took the unusual step of focusing his inaugural address on a single issue : The lack of opportunity facing the city 's disadvantaged youths .	41
landmark	1	3	Tuesday 's landmark ruling extended the restriction to federal courts in California and courts in eight other Western states , lawyers said .	2
dogs	0	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .	17
weakness	1	4	To patch up some weakness he saw in his own math skills , he took a course , `` Numerical Analysis , '' offered online by the Ecole Polytechnique Federale de Lausanne in Switzerland .	4
care	0	0	New York and New Jersey announced mandatory quarantines for anyone traveling from three West African nations who has had direct contact with an Ebola patient , including health care workers .	28
giving	0	0	But today this ancient social contract is giving way as the Chinese economy booms , prying apart families with job opportunities in distant cities or abroad .	7
overwhelming	1	8	`` This was in conflict with the overwhelming imagery they receive from the media about having to have long hair . ''	7
lower	0	0	Twice as many Latinos will be eligible to vote next year as in 2000 , but Latinos tend to turn out at lower rates than other groups , in part because many young Latinos are n't engaged in politics .	22
Libraries	0	0	Little Free Libraries are handcrafted structures full of books for children and adults , a free-books movement that has spread not only around Illinois but onto lawns around the world .	2
register	1	4	It does not register with them , '' he said .	3
embalming	1	9	`` It shows clearly that Egyptians in prehistoric times were playing around quite sophisticatedly with embalming agents . ''	15
steps	0	0	The market 's owner , Abdi Mohamed , steps from behind his shelves .	8
direction	1	5	WASHINGTON -- The American public is unusually pessimistic about the direction of the country and increasingly fed up with Washington gridlock , a sour mood reflected in the worst disapproval ratings for President Barack Obama since he took office nearly five years ago .	10
777s	0	0	More than 1,100 of the planes have been delivered , and nearly all of the world 's most important airlines fly 777s on long-range routes .	21
censorship	1	6	`` We took it upon ourselves to really promote the sport at a time when it was a big time taboo ... when there was a self-imposed censorship on women 's sports . ''	27
engaged	0	0	Twice as many Latinos will be eligible to vote next year as in 2000 , but Latinos tend to turn out at lower rates than other groups , in part because many young Latinos are n't engaged in politics .	36
policemen	0	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned-out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .	33
dolphins	0	0	Drive hunting -- when groups of hunters on canoes fan out far offshore and clap stones together as they round up dolphins -- has been taking place off the Solomon Islands for many years .	21
AFC	0	0	The punishment comes days after the league announced results of an investigation that found Brady was `` likely generally aware '' that equipment assistants employed by the team had conspired to deflate the Patriots ' footballs for last season 's AFC championship game , making the balls easier to throw and catch .	40
