WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
publicly	1	3	The governor , who throughout his career has joked about his weight on television , in social media and before countless audiences , said it was his plan all along never to acknowledge publicly that he had undergone gastric band surgery , more commonly known as lap band surgery .	33
linked	0	0	It 's been linked with violence , cyberbullying , school woes , obesity , lack of sleep and a host of other problems .	3
cattle	0	0	The mutilated cattle , found this spring on Koski 's 1,000-acre farm in the tiny community of Matchwood in Ontonogan County , are the latest casualties in his ongoing war with wolves .	2
troop	0	0	In a speech that takes stock of America 's long battle with al-Qaida , the president said he would continue ordering lethal drone strikes to stop potential terror attacks because the relative precision of drone warfare is preferable to major troop deployments or traditional bombing .	40
economics	1	3	An economics and personal-finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .	1
stands	0	0	CORNUCOPIA , Wis. -- On some days , Kevin Hunt stands at his Star North gas station in this eye-blink of a town on mighty Lake Superior , marveling at Mother Nature and his own dumb luck .	10
uses	0	0	It will also be a wink to his craft , the one he uses to capture this city , his `` beautiful ghetto , '' in powerful black-and-white photos that have made him a surprise media sensation .	13
coauthor	1	6	`` There has been an increased commercialization of the teeth , and that 's a little troubling , '' said study coauthor Scott Baker , associate director of the Marine Mammal Institute at Oregon State University .	21
backed	0	0	After firing 87 volleys of tear gas at protesters at nine locations on Sunday evening , police backed away from engaging as directly with the demonstrators during the daytime on Monday .	17
library	0	0	`` We do n't have any Internet at home , '' Morua said as her oldest , 11-year-old Abel , clicked through an assignment on a library laptop while Alina , 9 , waited for her turn at a desktop .	26
explosion	1	4	WASHINGTON -- Louisiana residents may go gaga over Mark Wahlberg , Kurt Russell and Kate Hudson when they arrive in the state later this year to film a movie about the 2010 Deepwater Horizon oil rig explosion .	36
noise	0	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .	1
records	0	0	There are no records of a human ever being killed by a wolf in the wild in Michigan .	3
meat	0	0	The meat is also sold for cash .	1
war	0	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned-out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .	12
pawned	1	3	At Pawn America 's 29 Midwest locations , most cellphones , laptops and tablets are sold , not pawned , and the numbers keep growing .	18
attend	0	0	It 's the latest innovation in French public education : Their child must now attend school on Wednesdays .	14
clattered	1	6	Rocks and boulders sloughed off the crater walls , kicking up plumes of dust as they clattered down the near-vertical slopes .	16
video	0	0	ANCHORAGE , Alaska -- Many middle school students in south-central Alaska spent spring break playing video games , skiing in what little snow has fallen or just enjoying a lazy week away from school .	15
